signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
KRE_PrevDayBreakout_D1_21,KRE,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15 04:00:00+00:00,63.435,62.74,64.825,2025-07-15 04:00:00+00:00,62.74,SL hit,loss,-1.0,1.0,63.435,0.695,1.113663
XAR_TwoDayBreakout_D1_21,XAR,TwoDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15 04:00:00+00:00,216.06,208.34,231.5,2025-07-21 04:00:00+00:00,219.4,time stop win,win,0.4326,1.0,216.06,7.72,1.032529
VTV_MeanReversion_D1_22,VTV,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16 04:00:00+00:00,176.635,176.185,177.535,2025-07-16 04:00:00+00:00,176.185,SL hit,loss,-1.0,1.0,176.635,0.45,2.0
XAR_TwoDayBreakout_D1_23,XAR,TwoDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,219.47,211.635,235.14,2025-07-23 04:00:00+00:00,221.06,time stop win,win,0.2029,1.0,219.47,7.835,1.032529
EEM_PrevDayBreakout_D1_23,EEM,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,48.85,48.615,49.32,2025-07-18 04:00:00+00:00,49.32,TP hit,win,2.0,1.0,48.85,0.235,0.6751
KRE_PrevDayBreakout_D1_24,KRE,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18 04:00:00+00:00,63.57,60.68,69.35,2025-07-24 04:00:00+00:00,62.17,time stop loss,loss,-0.4844,1.0,63.57,2.89,0.878811
KRE_PrevDayBreakout_D1_25,KRE,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21 04:00:00+00:00,63.48,61.845,66.75,2025-07-25 04:00:00+00:00,61.845,SL hit,loss,-1.0,1.0,63.48,1.635,0.878811
XME_PrevDayBreakout_D1_27,XME,PrevDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23 04:00:00+00:00,78.54,75.89,83.84,2025-07-28 04:00:00+00:00,75.89,SL hit,loss,-1.0,1.0,78.54,2.65,0.802933
EEM_PrevDayBreakout_D1_28,EEM,PrevDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24 04:00:00+00:00,49.78,49.05,51.24,2025-07-30 04:00:00+00:00,49.05,SL hit,loss,-1.0,1.0,49.78,0.73,0.969522
SMH_PrevDayBreakout_D1_29,SMH,PrevDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25 04:00:00+00:00,285.94,283.23,291.36,2025-07-28 04:00:00+00:00,291.36,TP hit,win,2.0,1.0,285.94,2.71,0.1153
XLI_TwoDayBreakout_D1_30,XLI,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28 04:00:00+00:00,154.92,152.105,160.55,2025-07-30 04:00:00+00:00,152.105,SL hit,loss,-1.0,1.0,154.92,2.815,0.71234
