signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
EEM_PrevDayBreakout_D1_34,EEM,PrevDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16 04:00:00+00:00,48.67,48.21,49.59,2025-07-21 04:00:00+00:00,49.59,TP hit,win,2.0,1.0,48.67,0.46,0.607179
KRE_PrevDayBreakout_D1_37,KRE,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21 04:00:00+00:00,63.48,61.845,66.75,2025-07-25 04:00:00+00:00,61.845,SL hit,loss,-1.0,1.0,63.48,1.635,0.412693
QQQ_MeanReversion_D1_39,QQQ,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23 04:00:00+00:00,562.355,558.61,569.845,2025-07-29 04:00:00+00:00,569.845,TP hit,win,2.0,1.0,562.355,3.745,0.047417
IEMG_MeanReversion_D1_42,IEMG,MeanReversion_D1,2025-07-25T00:00:00-04:00,2025-07-28 04:00:00+00:00,61.255,61.23,61.305,2025-07-28 04:00:00+00:00,61.23,SL hit,loss,-1.0,1.0,61.255,0.025,-0.18858
EEM_MeanReversion_D1_43,EEM,MeanReversion_D1,2025-07-28T00:00:00-04:00,2025-07-29 04:00:00+00:00,49.29,49.095,49.68,2025-07-30 04:00:00+00:00,49.095,SL hit,loss,-1.0,1.0,49.29,0.195,-0.21464
IEMG_MeanReversion_D1_43,IEMG,MeanReversion_D1,2025-07-28T00:00:00-04:00,2025-07-29 04:00:00+00:00,61.22,60.965,61.73,2025-07-30 04:00:00+00:00,60.965,SL hit,loss,-1.0,1.0,61.22,0.255,-0.323817
QQQ_MeanReversion_D1_47,QQQ,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04 04:00:00+00:00,559.11,551.73,573.87,2025-08-08 04:00:00+00:00,573.87,TP hit,win,2.0,1.0,559.11,7.38,0.326357
EEM_MeanReversion_D1_47,EEM,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04 04:00:00+00:00,48.735,47.99,50.225,2025-08-08 04:00:00+00:00,49.43,time stop win,win,0.9329,1.0,48.735,0.745,-0.345533
EEM_PrevDayBreakout_D1_51,EEM,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08 04:00:00+00:00,49.33,48.8,50.39,2025-08-13 04:00:00+00:00,50.39,TP hit,win,2.0,1.0,49.33,0.53,0.730868
IEMG_PrevDayBreakout_D1_51,IEMG,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08 04:00:00+00:00,61.305,60.7,62.515,2025-08-13 04:00:00+00:00,62.515,TP hit,win,2.0,1.0,61.305,0.605,0.62208
EEM_PrevDayBreakout_D1_54,EEM,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13 04:00:00+00:00,50.45,49.24,52.87,2025-08-19 04:00:00+00:00,49.805,time stop loss,loss,-0.5331,1.0,50.45,1.21,0.712295
IEMG_PrevDayBreakout_D1_54,IEMG,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13 04:00:00+00:00,62.65,61.2,65.55,2025-08-19 04:00:00+00:00,62.0,time stop loss,loss,-0.4483,1.0,62.65,1.45,0.57283
EEM_PrevDayBreakout_D1_58,EEM,PrevDayBreakout_D1,2025-08-18T00:00:00-04:00,2025-08-19 04:00:00+00:00,50.1,49.89,50.52,2025-08-19 04:00:00+00:00,49.89,SL hit,loss,-1.0,1.0,50.1,0.21,0.695545
EEM_TwoDayBreakout_D1_58,EEM,TwoDayBreakout_D1,2025-08-18T00:00:00-04:00,2025-08-19 04:00:00+00:00,50.1,49.74,50.82,2025-08-20 04:00:00+00:00,49.74,SL hit,loss,-1.0,1.0,50.1,0.36,0.582825
QQQ_MeanReversion_D1_59,QQQ,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20 04:00:00+00:00,568.31,568.26,568.41,2025-08-20 04:00:00+00:00,568.26,SL hit,loss,-1.0,1.0,568.31,0.05,0.364944
XLP_TwoDayBreakout_D1_59,XLP,TwoDayBreakout_D1,2025-08-19T00:00:00-04:00,2025-08-20 04:00:00+00:00,82.71,81.65,84.83,2025-08-25 04:00:00+00:00,81.65,SL hit,loss,-1.0,1.0,82.71,1.06,-0.42882
QQQ_MeanReversion_D1_60,QQQ,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21 04:00:00+00:00,564.35,558.9,575.25,2025-08-27 04:00:00+00:00,573.55,time stop win,win,1.6881,1.0,564.35,5.45,0.22845
