signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
SOXL_PrevDayBreakout_D1_25,SOXL,PrevDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16 04:00:00+00:00,26.58,25.33,29.08,2025-07-16 04:00:00+00:00,25.33,SL hit,loss,-1.0,1.0,26.58,1.25,0.20349
SOXL_MeanReversion_D1_26,SOXL,MeanReversion_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,26.96,24.92,31.04,2025-07-23 04:00:00+00:00,24.92,SL hit,loss,-1.0,1.0,26.96,2.04,0.18
TSLA_PrevDayBreakout_D1_26,TSLA,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,323.16,310.54,348.4,2025-07-23 04:00:00+00:00,333.04,time stop win,win,0.7829,1.0,323.16,12.62,0.05294
UVXY_PrevDayBreakout_D1_26,UVXY,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,17.39,16.86,18.45,2025-07-21 04:00:00+00:00,16.86,SL hit,loss,-1.0,1.0,17.39,0.53,-0.7149
TQQQ_TwoDayBreakout_D1_29,TQQQ,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22 04:00:00+00:00,88.155,85.0,94.465,2025-07-28 04:00:00+00:00,89.815,time stop win,win,0.5261,1.0,88.155,3.155,0.0745
SOXL_MeanReversion_D1_30,SOXL,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23 04:00:00+00:00,25.685,25.35,26.355,2025-07-23 04:00:00+00:00,25.35,SL hit,loss,-1.0,1.0,25.685,0.335,0.18
TQQQ_MeanReversion_D1_30,TQQQ,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23 04:00:00+00:00,87.18,85.47,90.6,2025-07-29 04:00:00+00:00,90.6,TP hit,win,2.0,1.0,87.18,1.71,-0.06726
TSLA_MeanReversion_D1_32,TSLA,MeanReversion_D1,2025-07-24T00:00:00-04:00,2025-07-25 04:00:00+00:00,308.72,300.49,325.18,2025-07-28 04:00:00+00:00,325.18,TP hit,win,2.0,1.0,308.72,8.23,0.8
TSLA_PrevDayBreakout_D1_33,TSLA,PrevDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28 04:00:00+00:00,317.71,300.49,352.15,2025-08-01 04:00:00+00:00,300.49,SL hit,loss,-1.0,1.0,317.71,17.22,0.21814
SOXL_TwoDayBreakout_D1_34,SOXL,TwoDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29 04:00:00+00:00,27.44,24.83,32.66,2025-07-31 04:00:00+00:00,24.83,SL hit,loss,-1.0,1.0,27.44,2.61,0.0769
TSLA_MeanReversion_D1_37,TSLA,MeanReversion_D1,2025-07-31T00:00:00-04:00,2025-08-01 04:00:00+00:00,306.205,306.14,306.335,2025-08-01 04:00:00+00:00,306.14,SL hit,loss,-1.0,1.0,306.205,0.065,1.0
TSLA_MeanReversion_D1_38,TSLA,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04 04:00:00+00:00,308.73,297.86,330.47,2025-08-08 04:00:00+00:00,330.47,TP hit,win,2.0,1.0,308.73,10.87,0.714286
TQQQ_MeanReversion_D1_38,TQQQ,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04 04:00:00+00:00,85.215,81.89,91.865,2025-08-08 04:00:00+00:00,91.865,TP hit,win,2.0,1.0,85.215,3.325,0.277283
